"","probes"
"1","cg01782798"
"2","cg03082060"
"3","cg03673737"
"4","cg04131583"
"5","cg04291383"
"6","cg08321111"
"7","cg08323277"
"8","cg09528501"
"9","cg10334354"
"10","cg10343787"
"11","cg10595181"
"12","cg11337388"
"13","cg11382589"
"14","cg11731892"
"15","cg12839556"
"16","cg14029856"
"17","cg16002441"
"18","cg16557698"
"19","cg17511472"
"20","cg17844831"
"21","cg18026820"
"22","cg18986078"
"23","cg20132581"
"24","cg20317437"
"25","cg21207665"
"26","cg23372723"
"27","cg23655651"
"28","cg24726783"
"29","cg27632493"
"30","cg27655512"
