"","probes"
"1","cg00023464"
"2","cg00101453"
"3","cg00483562"
"4","cg00660701"
"5","cg00693769"
"6","cg00729269"
"7","cg00779130"
"8","cg00905354"
"9","cg00936146"
"10","cg01043865"
"11","cg01226742"
"12","cg01361446"
"13","cg01579535"
"14","cg01617920"
"15","cg01770232"
"16","cg02202483"
"17","cg02238504"
"18","cg02310027"
"19","cg02544836"
"20","cg02848122"
"21","cg02907415"
"22","cg03008269"
"23","cg03112782"
"24","cg03115072"
"25","cg03191116"
"26","cg03599988"
"27","cg03804272"
"28","cg03851515"
"29","cg03988527"
"30","cg04141261"
"31","cg04568117"
"32","cg04588514"
"33","cg05272960"
"34","cg05454076"
"35","cg05607246"
"36","cg05826626"
"37","cg05938177"
"38","cg06230247"
"39","cg06287395"
"40","cg06431953"
"41","cg06580523"
"42","cg06633637"
"43","cg06854842"
"44","cg06882058"
"45","cg06892815"
"46","cg07173112"
"47","cg07269003"
"48","cg07399395"
"49","cg07700962"
"50","cg07713896"
"51","cg07824907"
"52","cg07825681"
"53","cg07905673"
"54","cg08525845"
"55","cg08703718"
"56","cg08889347"
"57","cg09110148"
"58","cg09167117"
"59","cg09343544"
"60","cg09524078"
"61","cg09556823"
"62","cg09560533"
"63","cg09817427"
"64","cg09898060"
"65","cg09936190"
"66","cg10242602"
"67","cg10584587"
"68","cg10592171"
"69","cg10687420"
"70","cg10692118"
"71","cg10755961"
"72","cg10911283"
"73","cg10918735"
"74","cg10952063"
"75","cg11334838"
"76","cg11340371"
"77","cg11368900"
"78","cg12255774"
"79","cg12259903"
"80","cg12387106"
"81","cg12527909"
"82","cg12678686"
"83","cg12702615"
"84","cg12793803"
"85","cg12926934"
"86","cg12950753"
"87","cg12956209"
"88","cg12986659"
"89","cg13023210"
"90","cg13040392"
"91","cg13206013"
"92","cg13237033"
"93","cg13386351"
"94","cg13401071"
"95","cg13441058"
"96","cg13447099"
"97","cg13466809"
"98","cg13480619"
"99","cg13512830"
"100","cg13751113"
"101","cg13792460"
"102","cg13819586"
"103","cg13931277"
"104","cg14008571"
"105","cg14009729"
"106","cg14221264"
"107","cg14260002"
"108","cg14400120"
"109","cg14430886"
"110","cg14477263"
"111","cg14692453"
"112","cg14963534"
"113","cg15526941"
"114","cg15760709"
"115","cg15837119"
"116","cg15891644"
"117","cg15901804"
"118","cg15978017"
"119","cg16275967"
"120","cg16449402"
"121","cg16682276"
"122","cg17029168"
"123","cg17095731"
"124","cg17155907"
"125","cg17410394"
"126","cg17944110"
"127","cg17966071"
"128","cg18268988"
"129","cg18313083"
"130","cg18446690"
"131","cg18509826"
"132","cg18587504"
"133","cg18718647"
"134","cg18954051"
"135","cg19039586"
"136","cg19224278"
"137","cg19310162"
"138","cg19380499"
"139","cg19394857"
"140","cg19744952"
"141","cg19878597"
"142","cg19979750"
"143","cg20073320"
"144","cg20210151"
"145","cg20370909"
"146","cg20640374"
"147","cg20695611"
"148","cg20737382"
"149","cg20800117"
"150","cg20827077"
"151","cg20853361"
"152","cg20873136"
"153","cg20902975"
"154","cg21669326"
"155","cg21725888"
"156","cg21794767"
"157","cg21798447"
"158","cg21917084"
"159","cg21949518"
"160","cg22060087"
"161","cg22170177"
"162","cg22272277"
"163","cg22273804"
"164","cg22318878"
"165","cg22327527"
"166","cg22450733"
"167","cg22650458"
"168","cg22745471"
"169","cg22876356"
"170","cg22967016"
"171","cg23054032"
"172","cg23175583"
"173","cg23436746"
"174","cg23654112"
"175","cg23738681"
"176","cg24539517"
"177","cg24678767"
"178","cg24700929"
"179","cg24848349"
"180","cg24873202"
"181","cg24964350"
"182","cg25133016"
"183","cg25295726"
"184","cg25304860"
"185","cg25430849"
"186","cg25443943"
"187","cg25474507"
"188","cg25536171"
"189","cg25769469"
"190","cg25814293"
"191","cg25935985"
"192","cg25975712"
"193","cg26034629"
"194","cg26481739"
"195","cg26686647"
"196","cg26993213"
"197","cg27449975"
"198","cg27489873"
"199","cg27582625"
